Id,SalePrice
1461,119735.11
1462,160979.83
1463,185402.0
1464,193519.78
1465,198982.55
1466,176921.52
1467,174490.98
1468,168093.22
1469,185506.1
1470,127745.28
1471,194126.61
1472,95648.96
1473,95969.38
1474,152496.9
1475,126256.81
1476,385825.5
1477,266842.62
1478,299733.6
1479,215095.05
1480,501198.7
1481,315586.53
1482,214957.19
1483,165959.7
1484,165164.98
1485,181904.19
1486,191761.55
1487,357203.3
1488,230766.75
1489,205469.28
1490,220294.56
1491,190774.44
1492,85689.19
1493,189242.61
1494,306313.94
1495,305777.16
1496,225802.98
1497,180214.36
1498,165248.89
1499,160270.64
1500,156037.5
1501,179045.81
1502,145489.84
1503,311097.6
1504,236218.61
1505,223723.94
1506,182074.67
1507,254967.56
1508,198618.89
1509,159689.56
1510,148084.66
1511,142340.47
1512,169123.67
1513,134218.36
1514,187176.48
1515,209509.9
1516,157640.33
1517,163575.5
1518,128775.54
1519,227207.2
1520,131609.88
1521,132771.47
1522,172389.33
1523,109351.82
1524,120289.336
1525,120277.06
1526,121886.78
1527,102765.0
1528,137225.53
1529,149498.03
1530,166216.61
1531,103847.14
1532,105520.164
1533,144448.69
1534,124346.63
1535,157172.28
1536,100890.6
1537,68105.05
1538,195682.42
1539,205059.77
1540,108422.0
1541,149520.5
1542,142720.22
1543,229843.61
1544,74315.6
1545,114223.086
1546,133178.42
1547,131265.03
1548,147761.3
1549,123731.125
1550,145759.44
1551,122945.27
1552,161340.38
1553,163631.86
1554,112725.0
1555,164243.98
1556,80019.29
1557,101640.79
1558,94623.41
1559,90408.16
1560,133958.52
1561,138535.05
1562,130487.125
1563,122800.48
1564,158453.69
1565,143522.06
1566,231511.66
1567,70690.04
1568,220838.28
1569,136625.72
1570,132650.02
1571,121033.69
1572,150233.39
1573,236507.3
1574,119404.53
1575,215653.97
1576,227271.72
1577,196793.69
1578,150215.7
1579,151617.77
1580,196170.47
1581,155390.44
1582,128641.11
1583,331809.12
1584,219720.95
1585,140143.58
1586,72219.12
1587,96960.24
1588,146403.2
1589,101420.164
1590,133346.56
1591,92004.55
1592,127504.33
1593,128973.23
1594,152649.6
1595,113084.66
1596,234273.8
1597,176692.36
1598,205575.23
1599,175900.9
1600,175825.52
1601,73156.77
1602,113099.195
1603,85389.875
